City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
354,Ewa Beach,NE,71.6,scattered clouds,21.3156,-158.0072,Base Lodging
355,Varadero,NE,71.6,broken clouds,23.1536,-81.2514,Hotel Tuxpan Varadero
364,Bijapur,NE,74.97,clear sky,16.8333,75.7,Rajdhani Lodge
365,Iquira,NE,77.61,overcast clouds,2.6487,-75.6346,Finca San José
367,Manggar,NE,79.84,overcast clouds,-2.8833,108.2667,Guest Hotel
369,Manokwari,NE,79.11,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
370,Santa Cruz De Tenerife,NE,71.01,few clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
371,Plettenberg Bay,NE,72.63,clear sky,-34.0527,23.3716,Thanda Vista B&B
372,Ternate,NE,78.17,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
379,Eyl,NE,74.91,clear sky,7.9803,49.8164,Amiin Hotel
383,Mpophomeni,NE,75.99,light rain,-29.5682,30.1862,Sakkie and friends
389,Cayenne,NE,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
390,Dzilam Gonzalez,NE,73.22,scattered clouds,21.2833,-88.9333,posadas
397,Pathein,NE,72.63,clear sky,16.7833,94.7333,Pathein Hotel
410,San Pedro,NE,75.2,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
418,Hervey Bay,NE,73.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
420,Luderitz,NE,76.3,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
422,Gladstone,NE,77.0,light rain,-23.85,151.25,Highpoint International
429,Punta Alta,NE,70.88,overcast clouds,-38.8759,-62.0736,Center Hotel Punta Alta
438,Tomatlan,NE,78.03,clear sky,19.9333,-105.25,Norma franco
439,Tingo Maria,NE,71.6,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
441,Cockburn Town,NE,72.18,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
456,Jerantut,NE,71.31,overcast clouds,3.936,102.3626,Jerantut Hill Resort
459,Belawan,NE,77.0,scattered clouds,3.7755,98.6832,Lilik Hidayat Pulungan
481,Makakilo City,NE,71.6,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
487,Sao Filipe,NE,78.1,overcast clouds,14.8961,-24.4956,Tortuga B&B
489,Cikupa,NE,77.0,haze,-6.2364,106.5083,Baguos Priyo Satiaji
491,Muisne,NE,77.0,light rain,0.6,-80.0333,Quinta Samay
502,Port Macquarie,NE,71.01,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
508,Qui Nhon,NE,72.23,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
518,Kencong,NE,75.94,moderate rain,-8.2833,113.3667,GUBUK SUGIANTO
537,Pringsewu,NE,73.96,overcast clouds,-5.3582,104.9744,Urban Style by Front One
550,Palizada,NE,75.2,few clouds,18.25,-92.0833,Hotel San Joaquín
558,San Felipe,NE,78.64,few clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
560,Avanigadda,NE,77.0,haze,16.0215,80.9181,AP Camping
568,Alofi,NE,75.2,moderate rain,-19.0595,-169.9187,Taloa Heights
572,Kerema,NE,77.4,overcast clouds,-7.9631,145.7785,Frena Lodge
579,Katobu,NE,75.65,moderate rain,-4.9408,122.5276,La Ode Husein
581,Henties Bay,NE,71.01,scattered clouds,-22.116,14.2845,Fishermans Guest House
582,Bac Lieu,NE,76.33,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
591,Baracoa,NE,73.2,broken clouds,20.3467,-74.4958,Hostal Rio Miel
592,Matara,NE,77.85,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
609,La Asuncion,NE,79.95,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
611,Bako,NE,73.54,few clouds,5.7833,36.5667,Goh Hotel
617,San Ignacio,NE,73.99,clear sky,17.1561,-89.0714,Rainforest Haven Inn
620,Minab,NE,71.6,scattered clouds,27.1467,57.0801,Bam campground
629,Kalmunai,NE,77.94,broken clouds,7.4167,81.8167,VS Villa
639,Ulundi,NE,76.12,light rain,-28.3352,31.4162,Ekhethelo Lodge
647,Abu Dhabi,NE,75.2,clear sky,24.4667,54.3667,Beach Rotana
648,Kimbe,NE,77.95,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
656,Mersing,NE,78.8,overcast clouds,2.4312,103.8405,Timotel Hotel
660,Puerto Escondido,NE,78.8,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
661,Ratnagiri,NE,77.61,clear sky,16.9833,73.3,Hotel Landmark
663,Antofagasta,NE,73.99,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
668,Tanete,NE,77.58,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
679,Ampanihy,NE,79.32,light rain,-24.7,44.75,Angora Hotel
680,Dangriga,NE,73.99,broken clouds,16.9692,-88.2321,Chaleanor Hotel
682,Magadi,NE,77.0,broken clouds,12.9667,77.2333,Mindri of Magadi
695,Port Moresby,NE,75.2,moderate rain,-9.4431,147.1797,Lamana Hotel
696,Umm Lajj,NE,70.11,clear sky,25.0213,37.2685,Moon light Furnished Units
699,Mazamari,NE,73.17,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
704,Bahia Honda,NE,71.91,few clouds,22.9036,-83.1592,Casa Gualberto - Deysi
710,Mawlamyine,NE,76.59,broken clouds,16.4914,97.6256,Sandalwood Hotel
717,Progreso,NE,73.99,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
719,Chalisgaon,NE,72.57,clear sky,20.4667,75.0167,Shree Datta
