City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Northam,GB,2021-01-27 02:33:03,51.0333,-4.2167,48.0,97,100,7.0
68,Amapala,HN,2021-01-27 02:33:03,13.2922,-87.6539,81.79,62,0,5.12
69,Vao,NC,2021-01-27 02:33:03,-22.6667,167.4833,76.95,80,37,22.55
70,Vanavara,RU,2021-01-27 02:33:04,60.34,102.2797,-40.43,80,38,2.51
71,New Norfolk,AU,2021-01-27 02:33:04,-42.7826,147.0587,62.01,46,99,1.99
72,Alugan,PH,2021-01-27 02:33:04,12.2188,125.4808,81.0,85,100,13.2
73,Gaoua,BF,2021-01-27 02:33:04,10.2992,-3.2508,69.37,23,0,4.97
74,Dunedin,NZ,2021-01-27 02:32:23,-45.8742,170.5036,72.9,46,100,16.69
75,Youkounkoun,GN,2021-01-27 02:33:05,12.5333,-13.1333,66.76,22,0,1.74
76,Bengkulu,ID,2021-01-27 02:33:05,-3.8004,102.2655,75.25,86,100,2.08
77,Mitsamiouli,KM,2021-01-27 02:33:05,-11.3847,43.2844,80.71,70,1,5.03
78,Shelburne,CA,2021-01-27 02:33:05,44.0787,-80.2041,24.01,93,99,10.8
79,Henties Bay,NA,2021-01-27 02:33:05,-22.116,14.2845,68.0,88,72,4.88
80,Yellowknife,CA,2021-01-27 02:33:05,62.456,-114.3525,-9.99,70,75,8.05
81,Fortuna,US,2021-01-27 02:33:06,40.5982,-124.1573,39.0,93,90,21.85
82,Bandar-E Anzali,IR,2021-01-27 02:33:06,37.4727,49.4622,46.27,62,0,4.52
83,Sirjan,IR,2021-01-27 02:33:06,29.452,55.6814,36.93,65,0,4.97
84,Turukhansk,RU,2021-01-27 02:33:06,65.8167,87.9833,-22.65,86,100,17.76
85,Christchurch,NZ,2021-01-27 02:30:12,-43.5333,172.6333,93.2,18,3,14.97
86,Arraial Do Cabo,BR,2021-01-27 02:33:06,-22.9661,-42.0278,77.0,78,0,14.97
87,Tasiilaq,GL,2021-01-27 02:33:07,65.6145,-37.6368,10.11,93,100,12.21
88,Pisco,PE,2021-01-27 02:33:07,-13.7,-76.2167,69.01,87,99,11.01
89,Pemba,MZ,2021-01-27 02:32:30,-12.974,40.5178,78.8,94,20,4.61
90,Vila Franca Do Campo,PT,2021-01-27 02:30:23,37.7167,-25.4333,63.0,94,75,23.02
91,Tongzhou,CN,2021-01-27 02:33:08,39.9053,116.5994,35.01,43,0,8.95
92,Immokalee,US,2021-01-27 02:33:08,26.4187,-81.4173,71.01,94,75,4.61
93,Ust-Omchug,RU,2021-01-27 02:33:08,61.15,149.6333,-21.23,82,90,4.63
94,Lebu,CL,2021-01-27 02:33:08,-37.6167,-73.65,56.26,78,46,16.42
95,Shubarkuduk,KZ,2021-01-27 02:33:08,49.1447,56.4872,14.88,96,12,10.33
96,Hobart,AU,2021-01-27 02:32:36,-42.8794,147.3294,62.01,38,75,14.97
97,Port Elizabeth,ZA,2021-01-27 02:33:09,-33.918,25.5701,68.0,94,0,10.36
98,Isangel,VU,2021-01-27 02:33:09,-19.55,169.2667,84.2,74,90,14.97
99,Eydhafushi,MV,2021-01-27 02:33:09,5.1033,73.0708,80.29,67,100,13.35
100,Aguie,NE,2021-01-27 02:33:09,13.506,7.7786,64.47,23,82,9.8
101,Horki,BY,2021-01-27 02:33:09,54.2861,30.9842,30.6,99,100,16.2
102,Makakilo City,US,2021-01-27 02:33:10,21.3469,-158.0858,80.6,54,1,10.36
103,Cherskiy,RU,2021-01-27 02:33:10,68.75,161.3,-33.21,81,100,2.75
104,Paamiut,GL,2021-01-27 02:33:10,61.994,-49.6678,14.45,79,0,9.08
105,Avarua,CK,2021-01-27 02:33:10,-21.2078,-159.775,87.8,66,20,17.27
106,Nikolskoye,RU,2021-01-27 02:33:10,59.7035,30.7861,34.0,93,90,8.95
107,Nantucket,US,2021-01-27 02:33:10,41.2835,-70.0995,32.0,100,90,9.22
108,Carnarvon,AU,2021-01-27 02:33:11,-24.8667,113.6333,77.0,50,40,29.93
109,Bubaque,GW,2021-01-27 02:33:11,11.2833,-15.8333,77.32,68,0,7.52
110,Hambantota,LK,2021-01-27 02:33:11,6.1241,81.1185,73.4,88,40,4.61
111,Hobyo,SO,2021-01-27 02:33:11,5.3505,48.5268,76.57,77,64,18.57
112,Yuncheng,CN,2021-01-27 02:33:12,35.0231,110.9928,45.54,48,95,4.99
113,Dikson,RU,2021-01-27 02:33:12,73.5069,80.5464,-22.88,84,100,7.4
114,Safaga,EG,2021-01-27 02:33:12,26.7292,33.9365,53.6,58,0,5.75
115,Lata,PT,2021-01-27 02:33:12,40.1629,-8.3327,59.0,96,92,1.86
116,Shingu,JP,2021-01-27 02:33:12,33.7333,135.9833,53.6,76,75,19.57
117,Ilulissat,GL,2021-01-27 02:33:13,69.2167,-51.1,1.67,92,97,3.31
118,Jumla,NP,2021-01-27 02:33:13,29.2747,82.1838,43.99,26,0,2.37
119,Laurel,US,2021-01-27 02:33:13,39.0993,-76.8483,36.0,100,90,4.25
120,Tiksi,RU,2021-01-27 02:33:13,71.6872,128.8694,-37.35,83,100,3.29
121,Bandarbeyla,SO,2021-01-27 02:33:13,9.4942,50.8122,71.89,78,30,15.46
122,Dedovichi,RU,2021-01-27 02:33:14,57.5517,29.9502,28.96,98,85,4.36
123,East London,ZA,2021-01-27 02:33:14,-33.0153,27.9116,72.37,88,100,6.98
124,Port Alfred,ZA,2021-01-27 02:33:14,-33.5906,26.891,66.99,95,100,6.17
125,Bethel,US,2021-01-27 02:28:46,41.3712,-73.414,28.0,93,90,5.57
126,Ribeira Grande,PT,2021-01-27 02:33:14,38.5167,-28.7,62.55,82,60,32.35
127,Mayumba,GA,2021-01-27 02:33:15,-3.432,10.6554,77.18,87,96,5.17
128,Novyy Urengoy,RU,2021-01-27 02:33:15,66.0833,76.6333,-33.39,83,100,8.66
129,George,ZA,2021-01-27 02:33:15,-33.963,22.4617,64.4,94,75,5.75
130,Seydi,TM,2021-01-27 02:33:15,39.4816,62.9137,33.42,86,0,6.51
131,Ishigaki,JP,2021-01-27 02:33:16,24.3448,124.1572,69.8,64,40,16.11
132,Tiarei,PF,2021-01-27 02:33:16,-17.5333,-149.3333,80.6,74,75,6.91
133,Marienburg,PL,2021-01-27 02:33:16,54.0359,19.0266,33.01,85,100,8.99
134,Hofu,JP,2021-01-27 02:33:17,34.05,131.5667,53.6,76,75,4.61
135,Cockburn Town,TC,2021-01-27 02:33:18,21.4612,-71.1419,75.36,80,16,19.66
136,Saint-Augustin,CA,2021-01-27 02:33:18,51.226,-58.6502,19.08,94,67,11.56
137,Quatre Cocos,MU,2021-01-27 02:33:18,-20.2078,57.7625,77.0,88,20,8.05
138,Adrar,MR,2021-01-27 02:33:18,20.5022,-10.0711,64.47,21,0,8.68
139,Saint-Philippe,RE,2021-01-27 02:33:19,-21.3585,55.7679,75.2,57,0,8.05
140,Faya,SA,2021-01-27 02:33:19,18.3851,42.4509,50.0,57,0,2.48
141,Kapaa,US,2021-01-27 02:33:19,22.0752,-159.319,75.99,83,90,13.8
142,Hami,CN,2021-01-27 02:33:19,42.8,93.45,19.56,80,0,6.67
143,Ferkessedougou,CI,2021-01-27 02:33:19,9.6,-5.2,70.0,23,0,4.0
144,Tambovka,RU,2021-01-27 02:33:19,50.0969,128.0489,-11.2,77,20,4.47
145,Boa Vista,BR,2021-01-27 02:33:20,2.8197,-60.6733,80.6,69,0,8.05
146,Ponta Do Sol,PT,2021-01-27 02:33:20,32.6667,-17.1,64.4,77,40,6.91
147,Longyearbyen,SJ,2021-01-27 02:33:20,78.2186,15.6401,6.8,56,0,17.27
148,Tuatapere,NZ,2021-01-27 02:33:20,-46.1333,167.6833,68.0,76,98,7.0
149,Laguna,US,2021-01-27 02:33:20,38.421,-121.4238,48.2,53,90,26.46
150,Kavieng,PG,2021-01-27 02:33:21,-2.5744,150.7967,84.6,73,96,10.16
