City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Adrar,NE,20.5022,-10.0711,85.91,12,0,13.27,clear sky
80,Ilulissat,NE,69.2167,-51.1,1.4,55,20,6.91,few clouds
81,Mezen,NE,65.8522,44.24,18.34,97,100,7.7,light snow
82,Chokurdakh,NE,70.6333,147.9167,-29.24,85,0,6.62,clear sky
83,Mar Del Plata,NE,-38.0023,-57.5575,64.4,68,90,17.27,overcast clouds
84,Naze,NE,28.3667,129.4833,51.31,64,0,7.27,clear sky
85,Ulcinj,NE,41.9294,19.2244,57.2,67,20,10.36,few clouds
86,Soskovo,NE,52.7475,35.3828,24.71,97,100,9.98,light snow
87,Sao Joao Da Barra,NE,-21.6403,-41.0511,89.6,40,0,16.11,clear sky
88,Korhogo,NE,9.45,-5.6333,98.38,9,0,6.87,clear sky
89,Narsaq,NE,60.9167,-46.05,39.2,33,90,31.07,overcast clouds
90,Vilhena,NE,-12.7406,-60.1458,80.6,78,75,9.22,broken clouds
91,Clyde River,NE,70.4692,-68.5914,-18.4,76,1,5.75,clear sky
92,Kodiak,NE,57.79,-152.4072,32.0,55,1,17.27,clear sky
93,Tuatapere,NE,-46.1333,167.6833,48.0,80,61,8.01,broken clouds
94,Labuhan,NE,-6.8844,112.2051,78.03,85,100,7.83,light rain
95,Araouane,NE,18.9048,-3.5265,85.6,12,22,7.58,few clouds
96,Slave Lake,NE,55.2834,-114.769,-7.6,84,1,6.91,mist
97,Awbari,NE,26.5921,12.7805,74.3,20,0,4.27,clear sky
98,Ovalle,NE,-30.5983,-71.2003,82.63,27,0,5.44,clear sky
99,Chapais,NE,49.7834,-74.8492,-4.0,71,90,6.91,light snow
100,Dallas,NE,32.7668,-96.7836,57.2,88,90,10.36,mist
101,Kahului,NE,20.8947,-156.47,68.0,76,75,12.66,broken clouds
102,Saldanha,NE,-33.0117,17.9442,69.17,75,0,14.07,clear sky
103,Nanortalik,NE,60.1432,-45.2371,33.93,85,100,13.51,overcast clouds
104,Kayerkan,NE,69.3497,87.7602,-32.4,72,0,2.28,clear sky
105,Georgetown,NE,5.4112,100.3354,82.99,83,20,5.75,few clouds
106,Yeppoon,NE,-23.1333,150.7333,77.0,78,90,6.91,overcast clouds
